"PC Name","Company", "Site", "Solution", "Product", "availableCSpace (G)","totalCSpace (G)", "availableDSpace (G)", "totalDSpace (G)" 
"AU-BC-BOH-D141_F4CE46106110]","Brightstar Australia","Australia_Sydney","allinone","greent","20","232","","232",
"AU-CC-BOH-D070_F4CE461055F4]","Brightstar Australia","Australia_Sydney","allinone","greent","23","232","","232",
"AU-CC-FOH-D003_F4CE461060F4]","Brightstar Australia","Australia_Sydney","allinone","greent","0","232","","232",
"BBC-GREENT_F8BC12991618]","BuyBack Corps","Mission Viejo","allinone","greent","378","446","12","446",
"BIOWORLD-HPLTP1_E4A471A5C684]","FaceUP","Router","allinone_asia","GreenT","390","447","1","447",
"CAIR-FDIAL-02_90B11C6F5F06]","clover","irvine","allinone","greent","8","232","","232",
"CSD13L001M_A44E319997E8]","MXmobiling","MXM","allinone_asia","iRT","49","99","0","99",
"D020T9F_9C8E99E43A3C]","newaya","bstar_hongkong","mobilq","irt","22","231","","231",
"DELL-PC_AC72898FFAF7]","best buy canada","Langley","allinone","greent","104","581","0","581",
"DESKTOP-60N4NKP_4437E66B7527]","HOBI","Dallas","allinone","greent","291","465","0","465",
"ECS_TESTPC_D4BED99A2749]","Futuredial Nanjing","CETI Amazon","25","31","169","232","0","232",
"FDN1-PC_58946BB9BF8C]","the wireless alliance","The Wireless Alliance","Stage1","greenT_Stage1","53","129","8","129",
"FD_64510655D717]","Litong_Japan_asia","Kanagawa","allinone_asia","GreenT","133","224","1","224",
"FREETEL-PC_406186F84532]","FaceUP","PlusOneMarketing","allinone_asia","GreenT","735","926","0","926",
"FUTUREDIAL-7_180373E01701]","Apto Solutions","Atlanta","allinone","greent","136","232","0","232",
"GAMPDTA0314_180373368E18]","Apto Solutions","Atlanta","allinone","greent","171","232","0","232",
"GREENT_C4346B74E583]","Wistron_asia","WPH","allinone_asia","GreenT","372","452","1","452",
"IPHONE-PC_685D43E0C068]","Brightstar HongKong","bstar_hongkong","allinone","greent","28","446","17","446",
"IPHONE-PC_685D43E0E020]","Brightstar HongKong","bstar_hongkong","allinone","greent","301","446","17","446",
"IRT_PC16_80C16EFFBE76]","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","192","224","0","224",
"IRT_PC17_78ACC09EDAC7]","","","","","112","141","0","141",
"IRT_PC18_082E5F31B79B]","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","195","224","0","224",
"IRT_PC22_78E7D1853748]","","","","","12","141","0","141",
"IRT_PC23_64315027CA28]","","","","","105","141","0","141",
"IRT_PC24_6431501D2C28]","MXmobiling","DocomoCS_Toyocho","allinone_asia","iRT","103","141","0","141",
"ITO-PC063-PC_8CDCD4322811]","itochu_asia","tokyo","allinone_asia","GreenT","142","225","1","225",
"LI-D2UA4392JG7_C4346B60653A]","tangoe","Langley","mobilq","greent","74","238","0","238",
"MOBILE-WIPE_6C3BE52844C5]","Electronic Recyclers","Fresno","allinone","greent","414","931","0","931",
"PC-GREENT01_705A0F91C193]","MXdiagnosis","Diagnosis_Implementation","allinone_asia","GreenT","314","452","1","452",
"QA-PC1_180373C829CC]","futuredial","sunnyvale","allinone","greent","28","78","17","78",
"R3WH111-PC_1803732B0AEA]","Paragon Corporation","Boston","allinone","greent","138","232","0","232",
"RTVWS5443_40A8F062EDDE]","Verizon-Android","Verizon","allinone","greent","414","464","0","464",
"SBF01801-W7_3464A92DB98F]","FaceUP","SBFrameworks","allinone_asia","iRT","398","452","1","452",
"US003224_5065F31C27F2]","tangoe","Langley","mobilq","irt","95","238","0","238",
"US003239_5065F31F4EFF]","tangoe","Langley","mobilq","irt","77","238","0","238",
"US003241_5065F31E5546]","tangoe","Langley","mobilq","irt","102","238","0","238",
"US003246_5065F31E54F5]","tangoe","Langley","mobilq","irt","111","238","0","238",
"US003248_5065F31E5531]","tangoe","Langley","mobilq","irt","97","238","0","238",
"US003608_5065F31F4EE6]","tangoe","Langley","mobilq","irt","96","238","0","238",
"USBLM-000866_B8CA3AA62B3B]","moduslink","bloomington","allinone","greent","61","232","0","232",
"USMIA-PC005033_4437E6876FC9]","Moduslink Miami","Miami","allinone","greent","297","454","0","454",
"ZHAN_AC220B77677D]","Sipolar","Shenzhen","allinone","greent","14","40","33","40",
